"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry13","54","ec:2.3.1.12","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.12","rn:R02569",210,870,"rectangle",46,17,"#000000","#BFBFFF",11,"reversible","ec","00010",0,0,0,0,4909,6084,80.6870479947403,0.0012531328320802,3,5,0.333333333333333,0.000318979266347687,3,0,10,6,7,6,1.42485684229081e-07,3.41339333628971e-07,"NHNB"
"entry14","55","ec:1.1.1.27","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.27","rn:R00703",558,869,"rectangle",46,17,"#000000","#BFBFFF",12,"reversible","ec","00010",0,0,0,0,2155,6084,35.4207758053912,0,3,8,0.8,0.0003933910306845,3,0,9,6,7,5,1.77606338540404e-07,4.62330744767317e-07,"NHNB"
"entry16","57","ec:2.7.1.40","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.40","rn:R00200",483,771,"rectangle",46,17,"#000000","#BFBFFF",13,"irreversible","ec","00010",1,2,18,0.782608695652174,5581,6084,91.732412886259,0.0281954887218045,3,10,0.357142857142857,0.000386398763523957,3,0.25,8,6,7,8,8.19756715612757e-07,3.26811028039925e-06,"HB"
"entry18","59","ec:4.2.1.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.11","rn:R00658",483,701,"rectangle",46,17,"#000000","#BFBFFF",14,"reversible","ec","00010",1,2,21,0.91304347826087,5978,6084,98.2577251808021,0.0490288220551378,2,4,0.266666666666667,0.000387146728610143,3,1,7,6,7,6,1.82276018167109e-05,0.000229764845963348,"NHB"
"entry19","60","ec:5.4.2.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.2.11","rn:R01518",458,630,"rectangle",46,17,"#000000","#BFBFFF",15,"reversible","ec","00010",0,0,0,0,3676,6084,60.4207758053912,0.0275092493137606,4,9,0.428571428571429,0.000386996904024768,2,0.565217391304347,6,6,7,7,0.00138526267712791,0.00119262799834343,"NHNB"
"entry20","61","ec:1.2.1.12","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.12","rn:R01061",458,484,"rectangle",46,17,"#000000","#BFBFFF",16,"reversible","ec","00010",0,0,0,0,5729,6084,94.1650230111769,0.00252491347416159,4,11,0.523809523809524,0.000394788787998421,2,6.06777399041642e-17,7,6,7,7,0.00241417726417567,0.00120720945725166,"NHNB"
"entry21","62","ec:5.3.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.1.1","rn:R01015",386,449,"rectangle",46,17,"#000000","#BFBFFF",17,"reversible","ec","00010",0,0,0,0,5973,6084,98.1755424063116,0.00219298245614035,6,11,0.733333333333333,0.000811688311688312,2,1.44768919006855e-17,7,6,7,7,0.000314129142405527,0.0060034216292208,"NHNB"
"entry22","63","ec:2.7.1.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.11","rn:R04779",458,336,"rectangle",46,17,"#000000","#BFBFFF",18,"irreversible","ec","00010",0,0,0,0,4393,6084,72.2057856673241,0.00892857142857143,2,0,0,0.000444642063139173,1,1.47698760933995e-17,8,6,7,3,0.000314129142405582,0.064044610192233,"NHNB"
"entry23","64","ec:3.1.3.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.11","rn:R04780",408,336,"rectangle",46,17,"#000000","#BFBFFF",19,"irreversible","ec","00010",0,0,0,0,4900,6084,80.5391190006575,0.00892857142857143,2,0,0,0.000444642063139173,1,1.94518504336616e-17,8,6,7,3,0.000314129142405582,0.064044610192233,"NHNB"
"entry24","65","ec:2.7.1.199","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.199","rn:R02738",552,196,"rectangle",46,17,"#000000","#BFBFFF",20,"irreversible","ec","00010",0,0,0,0,1734,6084,28.5009861932939,0.000240183792815372,8,24,0.666666666666667,0.000434404865334492,1,2.94245441396569e-17,10,6,7,9,0.0740229415837152,0.972903245142773,"HNB"
"entry25","66","ec:5.3.1.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.1.9","rn:R02740",483,265,"rectangle",46,17,"#000000","#BFBFFF",21,"reversible","ec","00010",0,0,0,0,5842,6084,96.0223537146614,0.0163220551378446,6,18,0.272727272727273,0.00043308791684712,1,1.07670272654416e-16,9,6,7,12,0.290871633895054,0.823325762369133,"HNB"
